Nr	Kart	Navn	Adm.senter	Folketall[10]	Flatemålkm²	Målform	Distrikt
1804	Bodøkommune	Bodø	Bodø	53712	1392,51	Nøytral	Salten
1806	Narvikkommune	Narvik	Narvik	21580	3432,17	Bokmål	Ofoten
1811	Bindalkommune	Bindal	Terråk	1399	1264,63	Bokmål	Helgeland
1812	Sømnakommune	Sømna	Vik	1976	194,21	Bokmål	Helgeland
1813	Brønnøykommune	Brønnøy	Brønnøysund	7826	1041,11	Nøytral	Helgeland
1815	Vegakommune	Vega	Gladstad	1208	163,31	Bokmål	Helgeland
1816	Vevelstadkommune	Vevelstad	Vevelstad	480	538,81	Bokmål	Helgeland
1818	Herøykommune	Herøy	Silvalen	1842	64,58	Bokmål	Helgeland
1820	Alstahaugkommune	Alstahaug	Sandnessjøen	7421	187,22	Nøytral	Helgeland
1822	Leirfjordkommune	Leirfjord	Leland	2352	465,29	Nøytral	Helgeland
1824	Vefsnkommune	Vefsn	Mosjøen	13469	1928,76	Nøytral	Helgeland
1825	Granekommune	Grane	Trofors	1447	2009,95	Nøytral	Helgeland
1826	Hattfjelldalkommune	Hattfjelldal	Hattfjelldal	1284	2684,28	Nøytral	Helgeland
1827	Dønnakommune	Dønna	Solfjellsjøen	1427	194,14	Bokmål	Helgeland
1828	Nesnakommune	Nesna	Nesna	1808	183,13	Bokmål	Helgeland
1832	Hemneskommune	Hemnes	Korgen	4485	1588,52	Nøytral	Helgeland
1833	Ranakommune	Rana	MoiRana	25994	4460,65	Nøytral	Helgeland
1834	Lurøykommune	Lurøy	Onøy	1886	264,52	Bokmål	Helgeland
1835	Trænakommune	Træna	Husøya	442	16,31	Bokmål	Helgeland
1836	Rødøykommune	Rødøy	Vågaholmen	1139	711,30	Nøytral	Helgeland
1837	Meløykommune	Meløy	Ørnes	6180	873,96	Bokmål	Helgeland
1838	Gildeskålkommune	Gildeskål	Inndyr	1958	661,97	Nøytral	Salten
1839	Beiarnkommune	Beiarn	Moldjord	1062	1221,95	Bokmål	Salten
1840	Saltdalkommune	Saltdal	Rognan	4880	2215,38	Bokmål	Salten
1841	Fauskekommune	Fauske	Fauske	9827	1210,33	Bokmål	Salten
1845	Sørfoldkommune	Sørfold	Straumen	1858	1636,01	Bokmål	Salten
1848	Steigenkommune	Steigen	Leinesfjord	2672	1006,79	Bokmål	Salten
1851	Lødingenkommune	Lødingen	Lødingen	2060	524,53	Bokmål	Ofoten
1853	Eveneskommune	Evenes	Bogen	1330	252,30	Bokmål	Ofoten
1856	Røstkommune	Røst	Røstlandet	460	10,43	Bokmål	Lofoten
1857	Værøykommune	Værøy	Sørland	683	18,44	Bokmål	Lofoten
1859	Flakstadkommune	Flakstad	Ramberg	1229	178,09	Nøytral	Lofoten
1860	Vestvågøykommune	Vestvågøy	Leknes	11619	423,30	Nøytral	Lofoten
1865	Vågankommune	Vågan	Svolvær	9793	477,68	Nøytral	Lofoten
1866	Hadselkommune	Hadsel	Stokmarknes	8236	566,40	Bokmål	Vesterålen
1867	Bøkommune	Bø	Straume	2634	247,04	Nøytral	Vesterålen
1868	Øksneskommune	Øksnes	Myre	4569	319,17	Nøytral	Vesterålen
1870	Sortlandkommune	Sortland	Sortland	10618	722,42	Nøytral	Vesterålen
1871	Andøykommune	Andøy	Andenes	4553	655,60	Nøytral	Vesterålen
1874	Moskeneskommune	Moskenes	Reine	954	118,62	Nøytral	Lofoten
1875	Hamarøykommune	Hamarøy	Oppeid	2729	2020,45	Nøytral	Salten
18	Nordland	Nordland	Bodø	243081	38461,61	Nøytral	Nord-Norge